Rk,Pk,Tm,Player,College,Yrs,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48,BPM,VORP
1,1,CLE,Andrew Wiggins,Kansas,11,766,25888,14169,3425,1755,0.449,0.356,0.725,33.8,18.5,4.5,2.3,33.1,0.061,-1.4,4.2
2,2,MIL,Jabari Parker,Duke,8,310,8535,4380,1703,610,0.494,0.326,0.743,27.5,14.1,5.5,2,13.8,0.078,-0.8,2.5
3,3,PHI,Joel Embiid,Kansas,9,452,14407,12523,4987,1658,0.501,0.339,0.828,31.9,27.7,11,3.7,64.9,0.216,6.9,32.2
4,4,ORL,Aaron Gordon,Arizona,11,720,21076,9757,4474,1939,0.484,0.331,0.693,29.3,13.6,6.2,2.7,46.9,0.107,0.3,12.5
5,5,UTA,Dante Exum,,8,320,6005,1991,623,728,0.435,0.343,0.765,18.8,6.2,1.9,2.3,6.6,0.053,-2.8,-1.2
6,6,BOS,Marcus Smart,Oklahoma State,11,635,18726,6735,2183,2895,0.388,0.324,0.776,29.5,10.6,3.4,4.6,34.2,0.088,-0.4,7.7
7,7,LAL,Julius Randle,Kentucky,11,710,22738,13517,6491,2710,0.471,0.334,0.753,32,19,9.1,3.8,49.6,0.105,1,17
8,8,SAC,Nik Stauskas,Michigan,6,343,6701,2290,691,515,0.389,0.354,0.812,19.5,6.7,2,1.5,3.9,0.028,-3,-1.7
9,9,CHO,Noah Vonleh,Indiana,8,362,5854,1685,1790,264,0.459,0.307,0.692,16.2,4.7,4.9,0.7,9.4,0.077,-2.5,-0.7
10,10,PHI,Elfrid Payton,Louisiana,9,524,13894,5121,2086,3034,0.444,0.286,0.623,26.5,9.8,4,5.8,15.1,0.052,-1.1,3.1
11,11,DEN,Doug McDermott,Creighton,11,697,13572,5998,1456,664,0.47,0.411,0.804,19.5,8.6,2.1,1,21.5,0.076,-2.1,-0.5
12,12,ORL,Dario Šarić,,8,493,11079,5113,2626,940,0.444,0.36,0.837,22.5,10.4,5.3,1.9,20.9,0.091,-0.8,3.5
13,13,MIN,Zach LaVine,UCLA,11,654,21461,13590,2665,2595,0.47,0.391,0.833,32.8,20.8,4.1,4,37.3,0.083,0.7,14.5
14,14,PHO,T.J. Warren,NC State,9,385,10365,5497,1515,446,0.505,0.351,0.78,26.9,14.3,3.9,1.2,20.9,0.097,-0.4,4.1
15,15,ATL,Adreian Payne,Michigan State,4,107,1403,429,315,66,0.406,0.254,0.68,13.1,4,2.9,0.6,-0.6,-0.019,-5.9,-1.4
16,16,CHI,Jusuf Nurkić,,11,590,14347,6991,5219,1468,0.501,0.285,0.667,24.3,11.8,8.8,2.5,33.2,0.111,0.4,8.6
17,17,BOS,James Young,Kentucky,4,95,812,219,96,28,0.367,0.277,0.563,8.5,2.3,1,0.3,0.8,0.046,-3.4,-0.3
18,18,PHO,Tyler Ennis,Syracuse,4,186,2336,779,250,359,0.419,0.317,0.768,12.6,4.2,1.3,1.9,1.3,0.026,-3.4,-0.8
19,19,CHI,Gary Harris,Michigan State,11,618,16665,6440,1415,1141,0.446,0.369,0.81,27,10.4,2.3,1.8,26.8,0.077,-1.4,2.7
20,20,TOR,Bruno Caboclo,,7,105,1293,442,268,72,0.403,0.308,0.836,12.3,4.2,2.6,0.7,1.5,0.054,-2.7,-0.2
