Season,Age,Team,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards
2014-15,19,MIN,NBA,SF,82,82,36.2,6.1,13.9,0.437,0.5,1.5,0.31,5.6,12.3,0.453,0.454,4.3,5.7,0.76,1.6,2.9,4.6,2.1,1,0.6,2.2,2.3,16.9,ROY-1
2015-16,20,MIN,NBA,SF,81,81,35.1,7.3,16,0.459,0.7,2.3,0.3,6.6,13.6,0.486,0.481,5.3,7,0.761,1.3,2.3,3.6,2,1,0.6,2.2,2,20.7,
2016-17,21,MIN,NBA,SF,82,82,37.2,8.6,19.1,0.452,1.3,3.5,0.356,7.4,15.6,0.473,0.484,5,6.6,0.76,1.2,2.8,4,2.3,1,0.4,2.3,2.2,23.6,
2017-18,22,MIN,NBA,SF,82,82,36.3,6.9,15.9,0.438,1.4,4.1,0.331,5.6,11.7,0.475,0.481,2.5,3.8,0.643,1,3.4,4.4,2,1.1,0.6,1.7,2,17.7,
2018-19,23,MIN,NBA,SF,73,73,34.8,6.8,16.6,0.412,1.6,4.8,0.339,5.2,11.8,0.441,0.461,2.8,4.1,0.699,1.1,3.7,4.8,2.5,1,0.7,1.9,2.1,18.1,
2019-20,24,2TM,NBA,SF,54,54,34.4,8.1,18.1,0.447,2.1,6.2,0.332,6,11.9,0.506,0.504,3.5,5,0.709,1.2,3.9,5.1,3.7,0.8,1,2.4,2.4,21.8,
2019-20,24,MIN,NBA,SF,42,42,34.6,8.4,18.8,0.444,2.2,6.5,0.331,6.2,12.3,0.505,0.502,3.5,4.9,0.72,1.1,4.1,5.2,3.7,0.7,0.9,2.5,2.4,22.4,
2019-20,24,GSW,NBA,SF,12,12,33.6,7.2,15.7,0.457,1.7,4.9,0.339,5.5,10.8,0.512,0.511,3.4,5.1,0.672,1.5,3.1,4.6,3.6,1.3,1.4,2.1,2.2,19.4,
2020-21,25,GSW,NBA,PF,71,71,33.3,7.1,14.9,0.477,2,5.2,0.38,5.1,9.7,0.529,0.543,2.4,3.4,0.714,1.2,3.7,4.9,2.4,0.9,1,1.8,2.2,18.6,
2021-22,26,GSW,NBA,SF,73,73,31.9,6.5,14,0.466,2.2,5.5,0.393,4.4,8.5,0.513,0.543,2,3.2,0.634,1.2,3.3,4.5,2.2,1,0.7,1.5,2.2,17.2,AS
2022-23,27,GSW,NBA,SF,37,37,32.2,6.8,14.3,0.473,2.4,6.1,0.396,4.4,8.2,0.53,0.557,1.2,1.9,0.611,1.6,3.4,5,2.3,1.2,0.8,1.3,2.9,17.1,
2023-24,28,GSW,NBA,SF,71,59,27,5,11,0.453,1.3,3.6,0.358,3.7,7.4,0.498,0.511,2,2.7,0.751,1.5,3,4.5,1.7,0.6,0.6,1.2,2.1,13.2,
2024-25,29,2TM,NBA,SF,60,60,30.7,6.3,14,0.448,2.2,5.8,0.374,4.1,8.2,0.501,0.526,3.3,4.3,0.763,1.5,3,4.5,2.6,1,0.8,1.7,1.7,18,
2024-25,29,GSW,NBA,SF,43,43,30.1,6.1,13.7,0.444,2.2,5.8,0.379,3.9,7.9,0.491,0.524,3.2,4.2,0.777,1.5,3,4.6,2.4,0.9,0.8,1.3,1.6,17.6,
2024-25,29,MIA,NBA,SF,17,17,32.1,6.8,14.8,0.458,2.1,5.9,0.36,4.6,8.9,0.523,0.53,3.4,4.6,0.731,1.4,2.9,4.2,3.3,1.2,1,2.5,1.8,19,
