Season,Age,Team,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards
2014-15,20,DEN,NBA,C,62,27,17.8,2.8,6.2,0.446,0,0,0,2.8,6.1,0.449,0.446,1.4,2.1,0.636,2,4.1,6.2,0.8,0.8,1.1,1.4,3.3,6.9,ROY-6
2015-16,21,DEN,NBA,C,32,3,17.1,3.2,7.6,0.417,0,0.1,0,3.2,7.5,0.423,0.417,1.9,3.1,0.616,2,3.4,5.5,1.3,0.8,1.4,1.7,2.8,8.2,
2016-17,22,2TM,NBA,C,65,48,21.4,4.2,8.2,0.507,0,0,0,4.2,8.2,0.508,0.507,1.8,3.2,0.571,2.4,4.8,7.2,1.9,0.8,1.1,2.2,2.5,10.2,
2016-17,22,DEN,NBA,C,45,29,17.9,3.4,6.6,0.507,0,0,,3.4,6.6,0.507,0.507,1.2,2.5,0.496,2,3.8,5.8,1.3,0.6,0.8,1.8,2,8,
2016-17,22,POR,NBA,C,20,19,29.2,6,11.8,0.508,0,0.1,0,6,11.8,0.511,0.508,3.2,4.9,0.66,3.3,7.1,10.4,3.2,1.3,1.9,3.1,3.7,15.2,
2017-18,23,POR,NBA,C,79,79,26.4,6.1,12,0.505,0,0.1,0,6.1,11.9,0.508,0.505,2.2,3.5,0.63,2.4,6.6,9,1.8,0.8,1.4,2.3,3.1,14.3,DPOY-15
2018-19,24,POR,NBA,C,72,72,27.4,5.8,11.5,0.508,0,0.4,0.103,5.8,11.1,0.523,0.51,3.9,5.1,0.773,3.4,7,10.4,3.2,1,1.4,2.3,3.5,15.6,
2019-20,25,POR,NBA,C,8,8,31.6,6.8,13.6,0.495,0.3,1.3,0.2,6.5,12.4,0.525,0.505,3.9,4.4,0.886,2.9,7.4,10.3,4,1.4,2,2.4,4.9,17.6,
2020-21,26,POR,NBA,C,37,37,23.8,4.6,9,0.514,0.3,0.8,0.4,4.3,8.2,0.525,0.532,1.9,3.1,0.619,2.3,6.6,9,3.4,1,1.1,2,2.8,11.5,
2021-22,27,POR,NBA,C,56,56,28.2,5.7,10.7,0.535,0.3,1,0.268,5.5,9.7,0.563,0.548,3.3,4.8,0.69,3,8.1,11.1,2.8,1.1,0.6,2.6,3.4,15,
2022-23,28,POR,NBA,C,52,52,26.8,5,9.7,0.519,0.8,2.3,0.361,4.2,7.4,0.567,0.561,2.4,3.7,0.661,2.2,6.9,9.1,2.9,0.8,0.8,2.3,3.6,13.3,
2023-24,29,PHO,NBA,C,76,76,27.3,4.2,8.3,0.51,0.3,1.2,0.244,3.9,7.1,0.555,0.528,2.2,3.4,0.64,2.9,8.1,11,4,1.1,1.1,2.3,3.3,10.9,
2024-25,30,2TM,NBA,C,51,32,20.8,3.3,6.9,0.477,0.6,2.1,0.305,2.7,4.8,0.551,0.523,1.7,2.5,0.664,1.7,6.1,7.8,2.3,0.8,0.7,1.9,2.5,8.9,
2024-25,30,PHO,NBA,C,25,23,23.7,3,6.5,0.454,0.8,2.4,0.322,2.2,4.2,0.529,0.512,1.9,2.8,0.696,1.8,7.3,9.2,1.9,0.9,0.6,2.3,3.1,8.6,
2024-25,30,CHO,NBA,C,26,9,18.1,3.6,7.3,0.497,0.5,1.8,0.283,3.1,5.5,0.566,0.532,1.4,2.3,0.627,1.5,5,6.5,2.6,0.7,0.7,1.5,2,9.2,
