Season,Age,Team,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards
2013-14,Did not play - other pro league,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-15,Did not play - other pro league,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-16,23,NYK,NBA,SF,2,0,3,1.5,2,0.75,0,0.5,0,1.5,1.5,1,0.75,0,0,,0,0.5,0.5,0,0,0,0,1,3,
2016-17,Did not play - other pro league,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-18,Did not play - other pro league,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-19,Did not play - other pro league,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-20,27,MIL,NBA,SF,20,2,6.5,1.2,2.4,0.5,0,0.5,0,1.2,1.9,0.632,0.5,0.4,0.9,0.412,0.6,0.6,1.2,0.8,0.4,0.1,0.6,0.9,2.8,
2020-21,28,MIL,NBA,SF,57,3,9.7,1.2,2.4,0.489,0.1,0.5,0.241,1.1,1.9,0.556,0.515,0.4,0.9,0.51,0.9,1.2,2.2,0.8,0.4,0.2,0.8,1.3,2.9,
2021-22,29,MIL,NBA,SF,48,6,9.9,1.5,2.7,0.547,0,0.3,0.143,1.4,2.4,0.596,0.555,0.6,1,0.63,0.8,1.3,2.1,0.5,0.3,0.3,0.5,1.4,3.6,
2022-23,30,MIL,NBA,PF,37,0,5.6,0.5,1.2,0.435,0,0.2,0,0.5,1,0.526,0.435,0.3,0.6,0.5,0.4,0.8,1.2,0.4,0.1,0.1,0.3,0.6,1.4,
2023-24,31,MIL,NBA,PF,34,0,4.6,0.5,0.9,0.533,0,0,0,0.5,0.9,0.552,0.533,0,0.1,0,0.2,0.2,0.4,0.5,0.2,0.1,0.4,0.7,0.9,
