Season,Age,Team,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards
2014-15,Did not play - other pro league,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-16,Did not play - other pro league,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-17,Did not play - other pro league,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-18,Did not play - other pro league,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-19,Did not play - other pro league,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-20,Did not play - other pro league,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-21,Did not play - other pro league,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-22,Did not play - other pro league,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-23,Did not play - other pro league,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-24,30,2TM,NBA,PG,60,21,19.6,2.7,6.2,0.43,0.7,2.6,0.279,1.9,3.6,0.537,0.488,1,1.3,0.813,0.2,1.2,1.5,4.4,0.5,0.1,1.7,1.1,7,
2023-24,30,OKC,NBA,PG,30,0,12,1.2,3,0.407,0.4,1.5,0.244,0.9,1.5,0.565,0.467,0.5,0.6,0.737,0,0.8,0.8,2.5,0.3,0.1,1,0.7,3.3,
2023-24,30,CHO,NBA,PG,30,21,27.2,4.1,9.3,0.437,1.1,3.6,0.294,3,5.7,0.529,0.495,1.6,1.9,0.839,0.4,1.7,2.1,6.2,0.7,0.1,2.3,1.5,10.8,
2024-25,31,2TM,NBA,PG,41,16,19.1,2.3,6.7,0.348,1.1,3,0.36,1.2,3.6,0.338,0.43,0.8,1,0.829,0.5,1.7,2.2,3.1,0.4,0,1.9,1.1,6.6,
2024-25,31,CHO,NBA,PG,36,16,21.2,2.6,7.6,0.348,1.3,3.5,0.36,1.4,4.1,0.338,0.43,0.9,1.1,0.829,0.6,1.9,2.4,3.5,0.4,0,2.1,1.2,7.5,
2024-25,31,PHO,NBA,PG,5,0,4.2,0,0,,0,0,,0,0,,,0,0,,0,0.4,0.4,0.2,0,0,0.6,0.2,0,
