Team,W,L,W/L%,DRtg,Season
San Antonio Spurs,62,20,0.756,102.93,2014
Los Angeles Clippers,57,25,0.695,105.64,2014
Oklahoma City Thunder,59,23,0.72,104.6,2014
Golden State Warriors,51,31,0.622,103.07,2014
Houston Rockets,54,28,0.659,107.07,2014
Miami Heat,54,28,0.659,106.75,2014
Portland Trail Blazers,54,28,0.659,107.8,2014
Indiana Pacers,56,26,0.683,100.05,2014
Dallas Mavericks,49,33,0.598,109.24,2014
Minnesota Timberwolves,40,42,0.488,106.7,2014
Phoenix Suns,48,34,0.585,107.54,2014
Toronto Raptors,48,34,0.585,106.15,2014
Memphis Grizzlies,50,32,0.61,105.47,2014
Chicago Bulls,48,34,0.585,101.4,2014
Washington Wizards,44,38,0.537,105.45,2014
Atlanta Hawks,38,44,0.463,107.26,2014
Charlotte Bobcats,43,39,0.524,104.61,2014
New York Knicks,37,45,0.451,109.97,2014
Denver Nuggets,36,46,0.439,108.79,2014
Brooklyn Nets,44,38,0.537,108.63,2014
New Orleans Pelicans,34,48,0.415,110.9,2014
Sacramento Kings,28,54,0.341,109.46,2014
Cleveland Cavaliers,33,49,0.402,108.52,2014
Detroit Pistons,29,53,0.354,110.51,2014
Los Angeles Lakers,27,55,0.329,111.01,2014
Boston Celtics,25,57,0.305,108.63,2014
Orlando Magic,23,59,0.28,108.1,2014
Utah Jazz,25,57,0.305,112,2014
Milwaukee Bucks,15,67,0.183,112.67,2014
Philadelphia 76ers,19,63,0.232,110.53,2014
Golden State Warriors,67,15,0.817,101.86,2015
Los Angeles Clippers,56,26,0.683,106.22,2015
San Antonio Spurs,55,27,0.671,102.61,2015
Atlanta Hawks,60,22,0.732,103.98,2015
Portland Trail Blazers,51,31,0.622,104.3,2015
Cleveland Cavaliers,53,29,0.646,107.13,2015
Houston Rockets,56,26,0.683,104.26,2015
Memphis Grizzlies,55,27,0.671,102.9,2015
Dallas Mavericks,50,32,0.61,107.14,2015
Chicago Bulls,50,32,0.61,105.11,2015
Toronto Raptors,49,33,0.598,108.69,2015
Oklahoma City Thunder,45,37,0.549,106.18,2015
New Orleans Pelicans,45,37,0.549,108.15,2015
Utah Jazz,38,44,0.463,105.91,2015
Washington Wizards,46,36,0.561,103.73,2015
Indiana Pacers,38,44,0.463,104.04,2015
Milwaukee Bucks,41,41,0.5,103.18,2015
Phoenix Suns,39,43,0.476,106.85,2015
Boston Celtics,40,42,0.488,105.17,2015
Detroit Pistons,32,50,0.39,107.35,2015
Denver Nuggets,30,52,0.366,108.68,2015
Sacramento Kings,29,53,0.354,109.95,2015
Brooklyn Nets,38,44,0.463,108.19,2015
Miami Heat,37,45,0.451,107.91,2015
Charlotte Hornets,33,49,0.402,104.44,2015
Orlando Magic,25,57,0.305,108.34,2015
Los Angeles Lakers,21,61,0.256,111.44,2015
Minnesota Timberwolves,16,66,0.195,112.98,2015
Philadelphia 76ers,18,64,0.22,105.7,2015
New York Knicks,17,65,0.207,111.01,2015
San Antonio Spurs,67,15,0.817,99.55,2016
Golden State Warriors,73,9,0.89,104.32,2016
Oklahoma City Thunder,55,27,0.671,106.22,2016
Cleveland Cavaliers,57,25,0.695,105.32,2016
Toronto Raptors,56,26,0.683,106.16,2016
Los Angeles Clippers,53,29,0.646,104.57,2016
Atlanta Hawks,48,34,0.585,102,2016
Boston Celtics,48,34,0.585,104.1,2016
Charlotte Hornets,48,34,0.585,105.01,2016
Utah Jazz,40,42,0.488,104.78,2016
Indiana Pacers,45,37,0.549,103.51,2016
Miami Heat,48,34,0.585,105.34,2016
Portland Trail Blazers,44,38,0.537,108.67,2016
Detroit Pistons,44,38,0.537,106.19,2016
Houston Rockets,41,41,0.5,109.1,2016
Dallas Mavericks,42,40,0.512,107.48,2016
Washington Wizards,41,41,0.5,106.48,2016
Chicago Bulls,42,40,0.512,107.28,2016
Orlando Magic,35,47,0.427,107.47,2016
Memphis Grizzlies,42,40,0.512,108.69,2016
Sacramento Kings,33,49,0.402,109.07,2016
Denver Nuggets,33,49,0.402,109.47,2016
New York Knicks,32,50,0.39,108.43,2016
New Orleans Pelicans,30,52,0.366,110.17,2016
Minnesota Timberwolves,29,53,0.354,111.02,2016
Milwaukee Bucks,33,49,0.402,109.65,2016
Phoenix Suns,23,59,0.28,109.8,2016
Brooklyn Nets,21,61,0.256,111.6,2016
Los Angeles Lakers,17,65,0.207,112.4,2016
Philadelphia 76ers,10,72,0.122,110.15,2016
Golden State Warriors,67,15,0.817,104.57,2017
San Antonio Spurs,61,21,0.744,104.25,2017
Houston Rockets,55,27,0.671,109.96,2017
Los Angeles Clippers,51,31,0.622,108.88,2017
Utah Jazz,51,31,0.622,106.19,2017
Toronto Raptors,51,31,0.622,108.68,2017
Cleveland Cavaliers,51,31,0.622,110.99,2017
